sentiment,tweet
negative,Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .
positive,"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million ."
negative,Also construction expenses have gone up in Russia .
positive,"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn ."
neutral,Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .
negative,Operating cash flow after investments totalled EUR 61.3 mn compared to EUR 75.3 mn in the corresponding period in 2007 .
neutral,"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 ."
positive,"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years ."
neutral,The service developed by Digia facilitates the work and resourcing of health care personnel during vaccination campaigns while providing them with monitoring and management tools .
negative,"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % ."
positive,Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .
neutral,"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes ."
neutral,The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .
negative,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .
neutral,"The handset also features a Media Bar for quick access to favorite media and applications , including music , photos , YouTube or Ovi Share ."
positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine ."
positive,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .
neutral,The share of the share capital of both above mentioned shareholders remains below 5 % .
negative,"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added ."
negative,"Operating profit for the 12-month period decreased from EUR5 .4 m while net sales increased from EUR62 .0 m , as compared to the financial year 2004 ."
negative,"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters ."
negative,"The number of permanent reductions of clerical workers is 22 employees , of which 19 in Finland ."
neutral,The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 .
negative,"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 ."
neutral,"`` We will now , after the relevant authority approvals , make a mandatory bid as required by the Finnish Securities Markets Act ."
negative,The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .
negative,"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier ."
positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates ."
negative,"In Sweden , there is an oversupply of pharmacies ."
positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters ."
negative,"All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands ."
negative,"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 ."
negative,"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn ."
neutral,"Entire paper mills may be set up , especially in the new EU member states ."
neutral,Uponor has initiated actions to attempt to recover the cost of the replacement program from the supplier of the clamps as well as its insurance company .
neutral,Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .
negative,"Myllykoski , with one paper plant in Finland , one in the US and three in Germany , had revenues of EUR286m in the first half of 2010 and an operating loss of EUR12m , Reuters said ."
neutral,"As the world leaders in developing UV technology for municipal wastewater , drinking water , and industrial water treatment systems , Trojan Technologies was a logical partner in providing W+Ærtsil+Æ with UV technology for ballast water treatment ."
positive,"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak ."
negative,"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 ."
neutral,The Court 's decision will also promote genuine competition in services
negative,"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn ."
positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn ."
negative,Finnish Bank of +_land +_landsbanken has issued a profit warning .
positive,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 ."
negative,Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .
negative,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .
neutral,Vacon will supply drives to Ruselprom in the power range from 200 kW up to 2 MW .
positive,Both loans will be used to finance strategic investments such as shopping center redevelopment projects and refinancing of maturing debt .
negative,Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .
neutral,"`` These tests are part of a larger campaign which includes various customer trials and demonstrations to make LTE on 800 MHz commercially viable by this summer , '' Nokia Siemens head of LTE business line , Reino Tammela , said ."
positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % ."
negative,Device volume in the area decreased by 21 % to 2.7 mn units .
positive,Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .
negative,Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .
negative,"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told ."
negative,Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .
negative,The company decided at the end of 2008 to temporarily shut down its ammonia plant in Billingham and extend the maintenance period at its Ince facility .
neutral,We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .
negative,"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier ."
neutral,"In Switzerland , Teleste have been an established supplier of products for a long time and its primary customers include cable and fiber-to-the-home ( FTTH ) operators ."
neutral,The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .
neutral,The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .
neutral,`` Our aim is to understand different traffic patterns based on the use of each building .
neutral,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .
negative,"The OMX Helsinki 25 ended 0.47 pct lower at 3,150.55 and the OMX Helsinki was down 0.21 pct at 10,736.42 on 1.523 bln eur turnover ."
positive,The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific .
positive,"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent ."
neutral,"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking ."
neutral,"The corresponding increase in the share capital , EUR422 ,754 , has been entered in the Trade Register today ."
negative,"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 ."
positive,The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .
neutral,"After piloting , the instrument will be further developed according to the experiences gained ."
positive,Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .
neutral,"Editor 's note : Grimaldi generated a 1.7 bln euro ( $ 2.182 bln ) turnover in 2005 , ANSA reported on May 29 , 2006 ."
negative,The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .
negative,"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur ."
negative,"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid ."
neutral,The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .
neutral,"Panostaja , headquartered in Tampere , Finland , is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries ."
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .
neutral,Castecka said the town hall would hold talks with other investors interested in the zone .
neutral,"A maximum of 20 employees , who work in Karttakeskus and are responsible for producing Geographic Information Services , will be affected , the company added ."
negative,"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency ."
neutral,"In the end , Sanoma News wants to secure its foundation with the savings ."
neutral,QPR product family is fully compatible with Microsoft 's Windows 7 operating system .
negative,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .
neutral,"And when it has lifted the veil on the various types of customer for which it designs its phones , the result is social stereotyping taken to a fine art ."
neutral,Finnish Civil Aviation Administration decided to temporarily reopen Finnish capital 's Helsinki airport since 3 p.m. to 11 p.m. Monday local time .
neutral,"It is necessary to strengthen the company 's operations , however ."
neutral,"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team ."
neutral,Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars .
negative,Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 .
negative,Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .
negative,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 ."
neutral,"3G data subscribers are also helping to maintain these growth levels , since data-only subscriptions push for more multiple SIM ownership ."
negative,"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 ."
neutral,"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 ."
negative,"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 ."
positive,"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share ."
neutral,The deliveries started in April 2006 and will be completed in 2007 .
neutral,"The order includes a steel frame , load-bearing roof structures and partition wall elements , and Rautaruukki said it expects to complete installation as early as May next year ."
positive,The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .
positive,"is planning to expand its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland ."
positive,"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 ."
positive,"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s"
neutral,"The scope of the project is to find the most cost-efficient method for phosphorous removal and to deliver the storing and dosing equipment , which can be used in continuous operation at the plants ."
positive,Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .
neutral,Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .
neutral,The order also includes start-up and commissioning services .
neutral,"The most popular mobile data services are email , surfing the internet , as well as news and weather services ."
neutral,"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems ."
neutral,"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services ."
negative,Scanfil has also issued a profit warning .
negative,"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 ."
negative,The terms of the aforementioned funding are considerably below the Bank 's current CDS levels in the market and have a maturity ranging from 1 to 7.5 years .
positive,We hope to increase traffic volumes with the opening of Freight One Scandinavia . ''
negative,A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .
neutral,"This implementation will upgrade the existing system , enabling voicemail and video mail to be housed on the same platform ."
neutral,"DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele , while Nordea would be a `` good strategic fit '' , according to the document published by Pietiek ."
negative,"Thanks to the internet , consumers compare products more than previously and Finnish companies are not competitive ."
negative,"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year ."
positive,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales ."
neutral,"Crucially , the decision to use ETSI ( European Telecommunication Standard Institute ) - backed DVB-H adds to the growing list of operators and equipment manufacturers opting for the standard ( see Global : 20 January 2006 : Competing Technologies Vie for Mobile TV ) ."
positive,"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated ."
neutral,The desk will reach its full planned strength of ten persons in autumn 2007 .
positive,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .
neutral,Central Europe is an important market area for Honka .
positive,"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 ."
neutral,"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 ."
neutral,The writing and publication of Lemmink+Æinen -“ s history is a continuation of earlier collaboration between Antti Tuuri and the company .
positive,"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 ."
neutral,"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces ."
negative,"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period ."
neutral,Our Canned-preserved food in Finland report offers a comprehensive guide to the size and shape of the market at a national level .
positive,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .
positive,"During the past decade it has gradually divested noncore assets and bought several sports equipment makers , including California-based Fitness Products International and Sparks , Nevada-based ATEC , a leading maker of baseball and softball pitching machines ."
negative,`` Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy .
positive,"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 ."
positive,"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy ."
negative,"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November ."
negative,"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market ."
