,text
0,The stock market is experiencing volatility.
1,Le marché boursier connaît de la volatilité.
2,Il mercato azionario sta vivendo volatilità.
3,El mercado de valores está experimentando volatilidad.
4,I am considering investing in mutual funds.
5,Je pense à investir dans des fonds communs de placement.
6,Sto considerando di investire in fondi comuni.
7,Estoy considerando invertir en fondos mutuos.
8,The interest rates are expected to rise.
9,Les taux d'intérêt devraient augmenter.
10,Si prevede un aumento dei tassi di interesse.
11,Se espera que las tasas de interés suban.
12,It is important to diversify your investment portfolio.
13,Il est important de diversifier votre portefeuille d'investissement.
14,È importante diversificare il tuo portafoglio di investimenti.
15,Es importante diversificar tu cartera de inversiones.
